School,Area,Date,Staff Count,Student Count,DateTime,Staff Close Contacts,Student Close Contacts
Hanahan Middle,,10/7/2021,1,14,2021-10-07 04:35:03,1,15
Howe Hall Aims,,10/7/2021,1,3,2021-10-07 04:35:03,1,3
Jk Goudin Elementary,,10/7/2021,0,1,2021-10-07 04:35:03,0,3
Macedonia Middle,,10/7/2021,1,1,2021-10-07 04:35:03,1,1
Marrington Elementary,,10/7/2021,0,0,2021-10-07 04:35:03,0,5
Marrington Middle,,10/7/2021,0,1,2021-10-07 04:35:03,0,4
Mt Holly Elementary,,10/7/2021,0,3,2021-10-07 04:35:03,0,12
Nexton Elementary,,10/7/2021,0,3,2021-10-07 04:35:03,0,8
Philip Simmons Elementary,,10/7/2021,0,3,2021-10-07 04:35:03,1,3
Philip Simmons High,,10/7/2021,0,0,2021-10-07 04:35:03,0,2
Philip Simmons Middle,,10/7/2021,0,0,2021-10-07 04:35:03,0,5
Sangaree Elementary,,10/7/2021,0,2,2021-10-07 04:35:03,0,6
Sangaree Intermediate,,10/7/2021,0,2,2021-10-07 04:35:03,0,4
Sangaree Middle,,10/7/2021,0,6,2021-10-07 04:35:03,0,16
Sedgefield Middle,,10/7/2021,0,4,2021-10-07 04:35:03,0,8
St Stephen Elementary,,10/7/2021,0,0,2021-10-07 04:35:03,0,0
St Stephen Middle,,10/7/2021,0,1,2021-10-07 04:35:03,0,13
Stratford High,,10/7/2021,0,12,2021-10-07 04:35:03,0,16
Timberland High,,10/7/2021,0,1,2021-10-07 04:35:03,0,1
Westview Elementary,,10/7/2021,0,0,2021-10-07 04:35:03,0,4
Westview Middle,,10/7/2021,1,4,2021-10-07 04:35:03,2,10
Westview Primary,,10/7/2021,0,1,2021-10-07 04:35:03,0,5
Whitesville Elementary,,10/7/2021,0,5,2021-10-07 04:35:03,0,8
Berkeley County School District,,10/8/2021,14,107,2021-10-08 04:50:45,9,856
Central Offices,,10/8/2021,0,0,2021-10-08 04:50:45,0,0
Maintenance,,10/8/2021,0,0,2021-10-08 04:50:45,0,0
Technology,,10/8/2021,0,0,2021-10-08 04:50:45,0,0
Transportation,,10/8/2021,0,0,2021-10-08 04:50:45,0,0
Berkeley Alternative,,10/8/2021,0,0,2021-10-08 04:50:45,0,0
Berkeley Elementary,,10/8/2021,0,1,2021-10-08 04:50:45,1,15
Berkeley High School,,10/8/2021,1,3,2021-10-08 04:50:45,0,26
Berkeley Intermediate,,10/8/2021,0,0,2021-10-08 04:50:45,0,6
Berkeley Middle,,10/8/2021,0,1,2021-10-08 04:50:45,0,1
Berkeley Middle,,10/8/2021,0,1,2021-10-08 04:50:45,0,1
Berkeley Middle College,,10/8/2021,0,0,2021-10-08 04:50:45,0,0
Bonner Elementary,,10/8/2021,0,0,2021-10-08 04:50:45,0,10
Bowens Corner Elementary,,10/8/2021,0,0,2021-10-08 04:50:45,0,16
Cainhoy Elementary,,10/8/2021,0,2,2021-10-08 04:50:45,0,0
Cane Bay Elementary,,10/8/2021,0,0,2021-10-08 04:50:45,1,69
Cane Bay High,,10/8/2021,3,7,2021-10-08 04:50:45,4,40
Cane Bay Middle,,10/8/2021,2,3,2021-10-08 04:50:45,0,33
College Park Elementary,,10/8/2021,0,7,2021-10-08 04:50:45,0,58
College Park Middle,,10/8/2021,1,7,2021-10-08 04:50:45,1,37
Cross Elementary,,10/8/2021,0,1,2021-10-08 04:50:45,0,1
Cross High,,10/8/2021,0,0,2021-10-08 04:50:45,0,1
Daniel Island School,,10/8/2021,0,0,2021-10-08 04:50:45,0,5
Devon Forest Elementary,,10/8/2021,0,0,2021-10-08 04:50:45,0,19
Fishburne Campus,,10/8/2021,0,3,2021-10-08 04:50:45,0,0
Foxbank Elementary,,10/8/2021,0,0,2021-10-08 04:50:45,0,14
Goose Creek Elementary,,10/8/2021,1,6,2021-10-08 04:50:45,1,47
Goose Creek High,,10/8/2021,1,8,2021-10-08 04:50:45,0,14
Hanahan Elementary,,10/8/2021,1,2,2021-10-08 04:50:45,0,35
Hanahan High,,10/8/2021,0,6,2021-10-08 04:50:45,0,18
Hanahan Middle,,10/8/2021,0,4,2021-10-08 04:50:45,0,34
Howe Hall Aims,,10/8/2021,1,8,2021-10-08 04:50:45,0,32
Jk Goudin Elementary,,10/8/2021,1,4,2021-10-08 04:50:45,0,0
Macedonia Middle,,10/8/2021,0,1,2021-10-08 04:50:45,0,3
Marrington Elementary,,10/8/2021,1,0,2021-10-08 04:50:45,0,0
Marrington Middle,,10/8/2021,0,0,2021-10-08 04:50:45,0,10
Mt Holly Elementary,,10/8/2021,0,1,2021-10-08 04:50:45,0,5
Nexton Elementary,,10/8/2021,0,1,2021-10-08 04:50:45,0,9
Philip Simmons Elementary,,10/8/2021,0,1,2021-10-08 04:50:45,0,8
Philip Simmons High,,10/8/2021,0,3,2021-10-08 04:50:45,1,0
Philip Simmons Middle,,10/8/2021,0,1,2021-10-08 04:50:45,0,10
Sangaree Elementary,,10/8/2021,0,1,2021-10-08 04:50:45,0,6
Sangaree Intermediate,,10/8/2021,0,2,2021-10-08 04:50:45,0,8
Sangaree Middle,,10/8/2021,0,2,2021-10-08 04:50:45,0,73
Sedgefield Middle,,10/8/2021,0,6,2021-10-08 04:50:45,0,45
St Stephen Elementary,,10/8/2021,0,3,2021-10-08 04:50:45,0,4
St Stephen Middle,,10/8/2021,0,0,2021-10-08 04:50:45,0,2
Stratford High,,10/8/2021,0,1,2021-10-08 04:50:45,0,48
Timberland High,,10/8/2021,0,1,2021-10-08 04:50:45,0,4
Westview Elementary,,10/8/2021,0,0,2021-10-08 04:50:45,0,4
Westview Middle,,10/8/2021,1,4,2021-10-08 04:50:45,0,39
Westview Primary,,10/8/2021,0,1,2021-10-08 04:50:45,0,10
Whitesville Elementary,,10/8/2021,0,4,2021-10-08 04:50:45,0,30
Berkeley County School District,,10/11/2021,12,98,2021-10-11 05:06:46,7,650
Central Offices,,10/11/2021,0,0,2021-10-11 05:06:46,0,0
Maintenance,,10/11/2021,0,0,2021-10-11 05:06:46,0,0
Technology,,10/11/2021,0,0,2021-10-11 05:06:46,0,0
Transportation,,10/11/2021,0,0,2021-10-11 05:06:46,0,0
Berkeley Alternative,,10/11/2021,0,0,2021-10-11 05:06:46,0,0
Berkeley Elementary,,10/11/2021,0,0,2021-10-11 05:06:46,1,7
Berkeley High School,,10/11/2021,1,3,2021-10-11 05:06:46,0,11
Berkeley Intermediate,,10/11/2021,0,0,2021-10-11 05:06:46,0,3
Berkeley Middle,,10/11/2021,0,0,2021-10-11 05:06:46,0,0
Berkeley Middle College,,10/11/2021,0,0,2021-10-11 05:06:46,0,0
Bonner Elementary,,10/11/2021,0,1,2021-10-11 05:06:46,0,8
Boulder Bluff Elementary,,10/11/2021,0,2,2021-10-11 05:06:46,0,7
Bowens Corner Elementary,,10/11/2021,0,3,2021-10-11 05:06:46,0,21
Cainhoy Elementary,,10/11/2021,0,0,2021-10-11 05:06:46,0,0
Cane Bay Elementary,,10/11/2021,3,5,2021-10-11 05:06:46,1,34
Cane Bay High,,10/11/2021,0,3,2021-10-11 05:06:46,3,51
Cane Bay Middle,,10/11/2021,0,6,2021-10-11 05:06:46,0,26
College Park Elementary,,10/11/2021,1,6,2021-10-11 05:06:46,0,60
College Park Middle,,10/11/2021,0,1,2021-10-11 05:06:46,1,17
Cross Elementary,,10/11/2021,0,0,2021-10-11 05:06:46,0,0
Cross High,,10/11/2021,0,0,2021-10-11 05:06:46,0,1
Daniel Island School,,10/11/2021,0,0,2021-10-11 05:06:46,0,3
Devon Forest Elementary,,10/11/2021,0,4,2021-10-11 05:06:46,0,28
Fishburne Campus,,10/11/2021,0,0,2021-10-11 05:06:46,0,0
Foxbank Elementary,,10/11/2021,1,2,2021-10-11 05:06:46,0,2
Goose Creek Elementary,,10/11/2021,1,4,2021-10-11 05:06:46,0,36
Goose Creek High,,10/11/2021,1,2,2021-10-11 05:06:46,0,12
Hanahan Elementary,,10/11/2021,0,4,2021-10-11 05:06:46,0,24
Hanahan High,,10/11/2021,0,4,2021-10-11 05:06:46,0,19
Hanahan Middle,,10/11/2021,0,7,2021-10-11 05:06:46,0,27
Howe Hall Aims,,10/11/2021,1,3,2021-10-11 05:06:46,0,24
Jk Goudin Elementary,,10/11/2021,0,0,2021-10-11 05:06:46,0,0
Macedonia Middle,,10/11/2021,2,0,2021-10-11 05:06:46,0,7
Marrington Elementary,,10/11/2021,0,0,2021-10-11 05:06:46,0,0
Marrington Middle,,10/11/2021,0,1,2021-10-11 05:06:46,0,7
Mt Holly Elementary,,10/11/2021,0,0,2021-10-11 05:06:46,0,3
Nexton Elementary,,10/11/2021,0,4,2021-10-11 05:06:46,0,7
Philip Simmons Elementary,,10/11/2021,0,2,2021-10-11 05:06:46,0,10
Philip Simmons High,,10/11/2021,0,1,2021-10-11 05:06:46,0,1
Philip Simmons Middle,,10/11/2021,0,1,2021-10-11 05:06:46,0,10
Sangaree Elementary,,10/11/2021,0,2,2021-10-11 05:06:46,0,3
Sangaree Intermediate,,10/11/2021,0,1,2021-10-11 05:06:46,0,5
Sangaree Middle,,10/11/2021,1,7,2021-10-11 05:06:46,0,58
Sedgefield Middle,,10/11/2021,0,2,2021-10-11 05:06:46,0,14
St Stephen Elementary,,10/11/2021,0,1,2021-10-11 05:06:46,0,4
St Stephen Middle,,10/11/2021,0,0,2021-10-11 05:06:46,0,0
Stratford High,,10/11/2021,0,9,2021-10-11 05:06:46,0,34
Timberland High,,10/11/2021,0,0,2021-10-11 05:06:46,0,6
Westview Elementary,,10/11/2021,0,0,2021-10-11 05:06:46,0,3
Westview Middle,,10/11/2021,0,4,2021-10-11 05:06:46,0,38
Westview Primary,,10/11/2021,0,1,2021-10-11 05:06:46,0,10
Whitesville Elementary,,10/11/2021,0,2,2021-10-11 05:06:46,1,9
Berkeley County School District,,10/12/2021,8,100,2021-10-12 05:13:12,10,627
Central Offices,,10/12/2021,0,0,2021-10-12 05:13:12,0,0
Maintenance,,10/12/2021,0,0,2021-10-12 05:13:12,0,0
Technology,,10/12/2021,0,0,2021-10-12 05:13:12,0,0
Transportation,,10/12/2021,0,0,2021-10-12 05:13:12,0,0
Berkeley Alternative,,10/12/2021,0,0,2021-10-12 05:13:12,0,0
Berkeley Elementary,,10/12/2021,0,0,2021-10-12 05:13:12,1,6
Berkeley High School,,10/12/2021,1,4,2021-10-12 05:13:12,0,18
Berkeley Intermediate,,10/12/2021,0,0,2021-10-12 05:13:12,0,0
Berkeley Middle,,10/12/2021,0,2,2021-10-12 05:13:12,0,7
Berkeley Middle College,,10/12/2021,0,0,2021-10-12 05:13:12,0,0
Bonner Elementary,,10/12/2021,0,2,2021-10-12 05:13:12,0,7
Boulder Bluff Elementary,,10/12/2021,0,2,2021-10-12 05:13:12,0,2
Bowens Corner Elementary,,10/12/2021,0,2,2021-10-12 05:13:12,0,20
Cainhoy Elementary,,10/12/2021,0,0,2021-10-12 05:13:12,0,0
Cane Bay Elementary,,10/12/2021,0,5,2021-10-12 05:13:12,0,27
Cane Bay High,,10/12/2021,0,3,2021-10-12 05:13:12,3,51
Cane Bay Middle,,10/12/2021,0,4,2021-10-12 05:13:12,0,9
College Park Elementary,,10/12/2021,0,3,2021-10-12 05:13:12,0,22
College Park Middle,,10/12/2021,0,2,2021-10-12 05:13:12,1,17
Cross Elementary,,10/12/2021,0,0,2021-10-12 05:13:12,0,0
Cross High,,10/12/2021,0,0,2021-10-12 05:13:12,0,3
Daniel Island School,,10/12/2021,0,1,2021-10-12 05:13:12,0,7
Devon Forest Elementary,,10/12/2021,0,6,2021-10-12 05:13:12,0,30
Fishburne Campus,,10/12/2021,0,0,2021-10-12 05:13:12,0,0
Foxbank Elementary,,10/12/2021,1,0,2021-10-12 05:13:12,0,2
Goose Creek Elementary,,10/12/2021,1,3,2021-10-12 05:13:12,0,17
Goose Creek High,,10/12/2021,0,2,2021-10-12 05:13:12,0,19
Hanahan Elementary,,10/12/2021,0,2,2021-10-12 05:13:12,0,17
Hanahan High,,10/12/2021,0,6,2021-10-12 05:13:12,0,31
Hanahan Middle,,10/12/2021,0,5,2021-10-12 05:13:12,0,18
Howe Hall Aims,,10/12/2021,1,4,2021-10-12 05:13:12,0,24
Jk Goudin Elementary,,10/12/2021,0,0,2021-10-12 05:13:12,0,0
Macedonia Middle,,10/12/2021,2,0,2021-10-12 05:13:12,2,7
Marrington Elementary,,10/12/2021,0,2,2021-10-12 05:13:12,0,26
Marrington Middle,,10/12/2021,0,0,2021-10-12 05:13:12,0,6
Mt Holly Elementary,,10/12/2021,0,0,2021-10-12 05:13:12,0,3
Nexton Elementary,,10/12/2021,0,5,2021-10-12 05:13:12,0,7
Philip Simmons Elementary,,10/12/2021,0,1,2021-10-12 05:13:12,0,8
Philip Simmons High,,10/12/2021,0,1,2021-10-12 05:13:12,0,1
Philip Simmons Middle,,10/12/2021,0,1,2021-10-12 05:13:12,0,9
Sangaree Elementary,,10/12/2021,0,2,2021-10-12 05:13:12,0,2
Sangaree Intermediate,,10/12/2021,0,1,2021-10-12 05:13:12,0,5
Sangaree Middle,,10/12/2021,1,6,2021-10-12 05:13:12,0,58
Sedgefield Middle,,10/12/2021,0,2,2021-10-12 05:13:12,0,12
St Stephen Elementary,,10/12/2021,0,1,2021-10-12 05:13:12,0,4
St Stephen Middle,,10/12/2021,0,2,2021-10-12 05:13:12,0,1
Stratford High,,10/12/2021,0,12,2021-10-12 05:13:12,2,50
Timberland High,,10/12/2021,0,0,2021-10-12 05:13:12,0,6
Westview Elementary,,10/12/2021,0,0,2021-10-12 05:13:12,0,3
Westview Middle,,10/12/2021,0,3,2021-10-12 05:13:12,0,23
Westview Primary,,10/12/2021,1,1,2021-10-12 05:13:12,0,34
Whitesville Elementary,,10/12/2021,0,2,2021-10-12 05:13:12,1,8
Berkeley County School District,,10/12/2021,8,100,2021-10-12 05:13:12,10,627
Central Offices,,10/12/2021,0,0,2021-10-12 05:13:12,0,0
Maintenance,,10/12/2021,0,0,2021-10-12 05:13:12,0,0
Technology,,10/12/2021,0,0,2021-10-12 05:13:12,0,0
Transportation,,10/12/2021,0,0,2021-10-12 05:13:12,0,0
Berkeley Alternative,,10/12/2021,0,0,2021-10-12 05:13:12,0,0
Berkeley Elementary,,10/12/2021,0,0,2021-10-12 05:13:12,1,6
Berkeley High School,,10/12/2021,1,4,2021-10-12 05:13:12,0,18
Berkeley Intermediate,,10/12/2021,0,0,2021-10-12 05:13:12,0,0
Berkeley Middle,,10/12/2021,0,2,2021-10-12 05:13:12,0,7
Berkeley Middle College,,10/12/2021,0,0,2021-10-12 05:13:12,0,0
Bonner Elementary,,10/12/2021,0,2,2021-10-12 05:13:12,0,7
Boulder Bluff Elementary,,10/12/2021,0,2,2021-10-12 05:13:12,0,2
Bowens Corner Elementary,,10/12/2021,0,2,2021-10-12 05:13:12,0,20
Cainhoy Elementary,,10/12/2021,0,0,2021-10-12 05:13:12,0,0
Cane Bay Elementary,,10/12/2021,0,5,2021-10-12 05:13:12,0,27
Cane Bay High,,10/12/2021,0,3,2021-10-12 05:13:12,3,51
Cane Bay Middle,,10/12/2021,0,4,2021-10-12 05:13:12,0,9
College Park Elementary,,10/12/2021,0,3,2021-10-12 05:13:12,0,22
College Park Middle,,10/12/2021,0,2,2021-10-12 05:13:12,1,17
Cross Elementary,,10/12/2021,0,0,2021-10-12 05:13:12,0,0
Cross High,,10/12/2021,0,0,2021-10-12 05:13:12,0,3
Daniel Island School,,10/12/2021,0,1,2021-10-12 05:13:12,0,7
Devon Forest Elementary,,10/12/2021,0,6,2021-10-12 05:13:12,0,30
Fishburne Campus,,10/12/2021,0,0,2021-10-12 05:13:12,0,0
Foxbank Elementary,,10/12/2021,1,0,2021-10-12 05:13:12,0,2
Goose Creek Elementary,,10/12/2021,1,3,2021-10-12 05:13:12,0,17
Goose Creek High,,10/12/2021,0,2,2021-10-12 05:13:12,0,19
Hanahan Elementary,,10/12/2021,0,2,2021-10-12 05:13:12,0,17
Hanahan High,,10/12/2021,0,6,2021-10-12 05:13:12,0,31
Hanahan Middle,,10/12/2021,0,5,2021-10-12 05:13:12,0,18
Howe Hall Aims,,10/12/2021,1,4,2021-10-12 05:13:12,0,24
Jk Goudin Elementary,,10/12/2021,0,0,2021-10-12 05:13:12,0,0
Macedonia Middle,,10/12/2021,2,0,2021-10-12 05:13:12,2,7
Marrington Elementary,,10/12/2021,0,2,2021-10-12 05:13:12,0,26
Marrington Middle,,10/12/2021,0,0,2021-10-12 05:13:12,0,6
Mt Holly Elementary,,10/12/2021,0,0,2021-10-12 05:13:12,0,3
Nexton Elementary,,10/12/2021,0,5,2021-10-12 05:13:12,0,7
Philip Simmons Elementary,,10/12/2021,0,1,2021-10-12 05:13:12,0,8
Philip Simmons High,,10/12/2021,0,1,2021-10-12 05:13:12,0,1
Philip Simmons Middle,,10/12/2021,0,1,2021-10-12 05:13:12,0,9
Sangaree Elementary,,10/12/2021,0,2,2021-10-12 05:13:12,0,2
Sangaree Intermediate,,10/12/2021,0,1,2021-10-12 05:13:12,0,5
Sangaree Middle,,10/12/2021,1,6,2021-10-12 05:13:12,0,58
Sedgefield Middle,,10/12/2021,0,2,2021-10-12 05:13:12,0,12
St Stephen Elementary,,10/12/2021,0,1,2021-10-12 05:13:12,0,4
St Stephen Middle,,10/12/2021,0,2,2021-10-12 05:13:12,0,1
Stratford High,,10/12/2021,0,12,2021-10-12 05:13:12,2,50
Timberland High,,10/12/2021,0,0,2021-10-12 05:13:12,0,6
Westview Elementary,,10/12/2021,0,0,2021-10-12 05:13:12,0,3
Westview Middle,,10/12/2021,0,3,2021-10-12 05:13:12,0,23
Westview Primary,,10/12/2021,1,1,2021-10-12 05:13:12,0,34
Whitesville Elementary,,10/12/2021,0,2,2021-10-12 05:13:12,1,8
Berkeley County School District,,10/14/2021,10,104,2021-10-14 04:08:03,11,1002
Central Offices,,10/14/2021,0,0,2021-10-14 04:08:03,0,0
Maintenance,,10/14/2021,0,0,2021-10-14 04:08:03,0,0
Technology,,10/14/2021,0,0,2021-10-14 04:08:03,0,0
Transportation,,10/14/2021,1,0,2021-10-14 04:08:03,0,0
Berkeley Alternative,,10/14/2021,0,0,2021-10-14 04:08:03,0,0
Berkeley Elementary,,10/14/2021,0,0,2021-10-14 04:08:03,1,0
Berkeley High School,,10/14/2021,1,2,2021-10-14 04:08:03,1,12
Berkeley Intermediate,,10/14/2021,0,0,2021-10-14 04:08:03,0,0
Berkeley Middle,,10/14/2021,0,3,2021-10-14 04:08:03,0,20
Berkeley Middle College,,10/14/2021,0,0,2021-10-14 04:08:03,0,0
Bonner Elementary,,10/14/2021,0,1,2021-10-14 04:08:03,0,2
Boulder Bluff Elementary,,10/14/2021,0,2,2021-10-14 04:08:03,0,0
Bowens Corner Elementary,,10/14/2021,0,5,2021-10-14 04:08:03,0,40
Cainhoy Elementary,,10/14/2021,0,0,2021-10-14 04:08:03,0,0
Cane Bay Elementary,,10/14/2021,0,4,2021-10-14 04:08:03,0,50
Cane Bay High,,10/14/2021,0,3,2021-10-14 04:08:03,3,38
Cane Bay Middle,,10/14/2021,0,2,2021-10-14 04:08:03,0,4
College Park Elementary,,10/14/2021,0,3,2021-10-14 04:08:03,0,48
College Park Middle,,10/14/2021,0,2,2021-10-14 04:08:03,1,22
Cross Elementary,,10/14/2021,0,2,2021-10-14 04:08:03,0,32
Cross High,,10/14/2021,0,0,2021-10-14 04:08:03,0,0
Daniel Island School,,10/14/2021,0,1,2021-10-14 04:08:03,0,8
Devon Forest Elementary,,10/14/2021,1,8,2021-10-14 04:08:03,0,46
Fishburne Campus,,10/14/2021,0,0,2021-10-14 04:08:03,0,0
Foxbank Elementary,,10/14/2021,1,2,2021-10-14 04:08:03,0,12
Goose Creek Elementary,,10/14/2021,1,4,2021-10-14 04:08:03,0,64
Goose Creek High,,10/14/2021,0,2,2021-10-14 04:08:03,0,22
Hanahan Elementary,,10/14/2021,0,2,2021-10-14 04:08:03,0,20
Hanahan High,,10/14/2021,0,5,2021-10-14 04:08:03,0,40
Hanahan Middle,,10/14/2021,0,5,2021-10-14 04:08:03,0,26
Howe Hall Aims,,10/14/2021,1,3,2021-10-14 04:08:03,0,26
Jk Goudin Elementary,,10/14/2021,0,0,2021-10-14 04:08:03,0,0
Macedonia Middle,,10/14/2021,1,0,2021-10-14 04:08:03,2,10
Marrington Elementary,,10/14/2021,0,2,2021-10-14 04:08:03,0,54
Marrington Middle,,10/14/2021,0,1,2021-10-14 04:08:03,0,24
Mt Holly Elementary,,10/14/2021,0,0,2021-10-14 04:08:03,0,0
Nexton Elementary,,10/14/2021,0,5,2021-10-14 04:08:03,0,0
Philip Simmons Elementary,,10/14/2021,0,1,2021-10-14 04:08:03,0,6
Philip Simmons High,,10/14/2021,0,1,2021-10-14 04:08:03,0,0
Philip Simmons Middle,,10/14/2021,0,0,2021-10-14 04:08:03,0,16
Sangaree Elementary,,10/14/2021,0,3,2021-10-14 04:08:03,1,2
Sangaree Intermediate,,10/14/2021,0,1,2021-10-14 04:08:03,0,8
Sangaree Middle,,10/14/2021,2,4,2021-10-14 04:08:03,0,110
Sedgefield Middle,,10/14/2021,0,3,2021-10-14 04:08:03,0,18
St Stephen Elementary,,10/14/2021,0,1,2021-10-14 04:08:03,0,6
St Stephen Middle,,10/14/2021,0,1,2021-10-14 04:08:03,0,2
Stratford High,,10/14/2021,0,14,2021-10-14 04:08:03,1,110
Timberland High,,10/14/2021,0,0,2021-10-14 04:08:03,0,0
Westview Elementary,,10/14/2021,0,1,2021-10-14 04:08:03,0,0
Westview Middle,,10/14/2021,0,2,2021-10-14 04:08:03,0,36
Westview Primary,,10/14/2021,1,1,2021-10-14 04:08:03,0,60
Whitesville Elementary,,10/14/2021,0,2,2021-10-14 04:08:03,1,8
Berkeley County School District,,10/15/2021,7,96,2021-10-15 03:56:34,12,608
Central Offices,,10/15/2021,0,0,2021-10-15 03:56:34,0,0
Maintenance,,10/15/2021,0,0,2021-10-15 03:56:34,0,0
Technology,,10/15/2021,0,0,2021-10-15 03:56:34,0,0
Transportation,,10/15/2021,1,0,2021-10-15 03:56:34,1,0
Berkeley Alternative,,10/15/2021,0,0,2021-10-15 03:56:34,0,0
Berkeley Elementary,,10/15/2021,0,0,2021-10-15 03:56:34,1,6
Berkeley High School,,10/15/2021,1,1,2021-10-15 03:56:34,1,15
Berkeley Intermediate,,10/15/2021,0,0,2021-10-15 03:56:34,0,0
Berkeley Middle,,10/15/2021,0,3,2021-10-15 03:56:34,0,10
Berkeley Middle College,,10/15/2021,0,0,2021-10-15 03:56:34,0,0
Bonner Elementary,,10/15/2021,0,1,2021-10-15 03:56:34,0,5
Boulder Bluff Elementary,,10/15/2021,0,1,2021-10-15 03:56:34,0,2
Bowens Corner Elementary,,10/15/2021,0,5,2021-10-15 03:56:34,0,18
Cainhoy Elementary,,10/15/2021,0,0,2021-10-15 03:56:34,0,0
Cane Bay Elementary,,10/15/2021,0,3,2021-10-15 03:56:34,0,15
Cane Bay High,,10/15/2021,0,2,2021-10-15 03:56:34,3,29
Cane Bay Middle,,10/15/2021,0,2,2021-10-15 03:56:34,0,6
College Park Elementary,,10/15/2021,0,3,2021-10-15 03:56:34,0,26
College Park Middle,,10/15/2021,0,2,2021-10-15 03:56:34,0,13
Cross Elementary,,10/15/2021,0,2,2021-10-15 03:56:34,0,16
Cross High,,10/15/2021,0,0,2021-10-15 03:56:34,0,3
Daniel Island School,,10/15/2021,0,1,2021-10-15 03:56:34,0,6
Devon Forest Elementary,,10/15/2021,1,9,2021-10-15 03:56:34,0,31
Fishburne Campus,,10/15/2021,0,0,2021-10-15 03:56:34,0,0
Foxbank Elementary,,10/15/2021,0,2,2021-10-15 03:56:34,0,8
Goose Creek Elementary,,10/15/2021,0,4,2021-10-15 03:56:34,0,32
Goose Creek High,,10/15/2021,0,1,2021-10-15 03:56:34,0,10
Hanahan Elementary,,10/15/2021,0,1,2021-10-15 03:56:34,0,14
Hanahan High,,10/15/2021,0,5,2021-10-15 03:56:34,0,25
Hanahan Middle,,10/15/2021,0,5,2021-10-15 03:56:34,0,19
Howe Hall Aims,,10/15/2021,0,3,2021-10-15 03:56:34,0,12
Jk Goudin Elementary,,10/15/2021,0,0,2021-10-15 03:56:34,0,0
Macedonia Middle,,10/15/2021,1,0,2021-10-15 03:56:34,2,6
Marrington Elementary,,10/15/2021,0,2,2021-10-15 03:56:34,0,29
Marrington Middle,,10/15/2021,0,1,2021-10-15 03:56:34,0,17
Mt Holly Elementary,,10/15/2021,0,0,2021-10-15 03:56:34,0,2
Nexton Elementary,,10/15/2021,0,5,2021-10-15 03:56:34,0,1
Philip Simmons Elementary,,10/15/2021,0,1,2021-10-15 03:56:34,0,8
Philip Simmons High,,10/15/2021,0,0,2021-10-15 03:56:34,0,1
Philip Simmons Middle,,10/15/2021,0,0,2021-10-15 03:56:34,0,8
Sangaree Elementary,,10/15/2021,0,3,2021-10-15 03:56:34,1,3
Sangaree Intermediate,,10/15/2021,0,1,2021-10-15 03:56:34,0,6
Sangaree Middle,,10/15/2021,2,3,2021-10-15 03:56:34,0,58
Sedgefield Middle,,10/15/2021,0,3,2021-10-15 03:56:34,0,15
St Stephen Elementary,,10/15/2021,0,1,2021-10-15 03:56:34,0,7
St Stephen Middle,,10/15/2021,0,1,2021-10-15 03:56:34,0,1
Stratford High,,10/15/2021,0,13,2021-10-15 03:56:34,2,56
Timberland High,,10/15/2021,0,0,2021-10-15 03:56:34,0,4
Westview Elementary,,10/15/2021,0,1,2021-10-15 03:56:34,0,5
Westview Middle,,10/15/2021,0,2,2021-10-15 03:56:34,0,20
Westview Primary,,10/15/2021,1,1,2021-10-15 03:56:34,0,33
Whitesville Elementary,,10/15/2021,0,2,2021-10-15 03:56:34,1,7
Berkeley County School District,,10/18/2021,9,64,2021-10-18 03:50:25,11,417
Central Offices,,10/18/2021,0,0,2021-10-18 03:50:25,0,0
Maintenance,,10/18/2021,0,0,2021-10-18 03:50:25,0,0
Technology,,10/18/2021,0,0,2021-10-18 03:50:25,0,0
Transportation,,10/18/2021,1,0,2021-10-18 03:50:25,1,0
Berkeley Alternative,,10/18/2021,0,0,2021-10-18 03:50:25,0,0
Berkeley Elementary,,10/18/2021,0,0,2021-10-18 03:50:25,1,3
Berkeley High School,,10/18/2021,0,2,2021-10-18 03:50:25,1,9
Berkeley Intermediate,,10/18/2021,0,0,2021-10-18 03:50:25,0,0
Berkeley Middle,,10/18/2021,0,3,2021-10-18 03:50:25,0,12
Berkeley Middle College,,10/18/2021,0,0,2021-10-18 03:50:25,0,0
Bonner Elementary,,10/18/2021,1,1,2021-10-18 03:50:25,1,6
Boulder Bluff Elementary,,10/18/2021,0,0,2021-10-18 03:50:25,0,2
Bowens Corner Elementary,,10/18/2021,0,4,2021-10-18 03:50:25,0,10
Cainhoy Elementary,,10/18/2021,0,0,2021-10-18 03:50:25,0,0
Cane Bay Elementary,,10/18/2021,0,2,2021-10-18 03:50:25,0,12
Cane Bay High,,10/18/2021,0,2,2021-10-18 03:50:25,1,24
Cane Bay Middle,,10/18/2021,0,2,2021-10-18 03:50:25,0,6
College Park Elementary,,10/18/2021,1,2,2021-10-18 03:50:25,0,33
College Park Middle,,10/18/2021,0,1,2021-10-18 03:50:25,0,6
Cross Elementary,,10/18/2021,0,2,2021-10-18 03:50:25,0,16
Cross High,,10/18/2021,0,0,2021-10-18 03:50:25,0,2
Daniel Island School,,10/18/2021,0,2,2021-10-18 03:50:25,0,5
Devon Forest Elementary,,10/18/2021,2,6,2021-10-18 03:50:25,0,25
Fishburne Campus,,10/18/2021,0,0,2021-10-18 03:50:25,0,0
Foxbank Elementary,,10/18/2021,0,2,2021-10-18 03:50:25,0,7
